source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
rotowire,NBA,Coby White,PR,2026-02-10 14:37:14,26.034426602014697,1.0,,,,,,
rotowire,NBA,Coby White,PRA,2026-02-10 14:37:14,31.97349664204684,1.0,,,,,,
rotowire,NBA,Coby White,PTS,2026-02-10 14:37:14,21.214120961646984,1.0,,,,,,
rotowire,NBA,Coby White,RA,2026-02-10 14:37:14,10.759375680399854,1.0,,,,,,
rotowire,NBA,Coby White,REB,2026-02-10 14:37:14,4.820305640367712,1.0,,,,,,
rotowire,NBA,Cody Williams,PA,2026-02-10 14:37:14,11.753419888061206,1.0,,,,,,
rotowire,NBA,Cody Williams,PR,2026-02-10 14:37:14,13.283276257004443,1.0,,,,,,
rotowire,NBA,Cole Anthony,PA,2026-02-10 14:37:14,10.442636122437984,1.0,,,,,,
rotowire,NBA,Cole Anthony,PR,2026-02-10 14:37:14,10.494260422385137,1.0,,,,,,
rotowire,NBA,Cole Anthony,PRA,2026-02-10 14:37:14,13.129212581894528,1.0,,,,,,
rotowire,NBA,Collin Gillespie,AST,2026-02-10 14:37:14,5.635494904093441,1.0,,,,,,
rotowire,NBA,Collin Gillespie,PA,2026-02-10 14:37:14,18.535828898477924,1.0,,,,,,
rotowire,NBA,Collin Gillespie,PR,2026-02-10 14:37:14,17.10393133504792,1.0,,,,,,
rotowire,NBA,Collin Gillespie,PRA,2026-02-10 14:37:14,22.739426239141363,1.0,,,,,,
rotowire,NBA,Collin Gillespie,PTS,2026-02-10 14:37:14,12.900333994384482,1.0,,,,,,
rotowire,NBA,Collin Gillespie,RA,2026-02-10 14:37:14,9.83909224475688,1.0,,,,,,
rotowire,NBA,Cooper Flagg,AST,2026-02-10 14:37:14,4.824964375901725,1.0,,,,,,
rotowire,NBA,Cooper Flagg,PA,2026-02-10 14:37:14,24.938253679755615,1.0,,,,,,
rotowire,NBA,Cooper Flagg,PR,2026-02-10 14:37:14,28.178204676899945,1.0,,,,,,
rotowire,NBA,Cooper Flagg,PRA,2026-02-10 14:37:14,33.00316905280167,1.0,,,,,,
rotowire,NBA,Cooper Flagg,PTS,2026-02-10 14:37:14,20.11328930385389,1.0,,,,,,
rotowire,NBA,Cooper Flagg,REB,2026-02-10 14:37:14,8.064915373046057,1.0,,,,,,
rotowire,NBA,Corey Kispert,PA,2026-02-10 14:37:14,12.57812229851134,1.0,,,,,,
rotowire,NBA,Corey Kispert,PR,2026-02-10 14:37:14,13.919575123610375,1.0,,,,,,
rotowire,NBA,Corey Kispert,PRA,2026-02-10 14:37:14,15.729150890202034,1.0,,,,,,
rotowire,NBA,Corey Kispert,PTS,2026-02-10 14:37:14,10.768546531919682,1.0,,,,,,
rotowire,NBA,Dalen Terry,PA,2026-02-10 14:37:14,13.528880040163763,1.0,,,,,,
rotowire,NBA,Dalen Terry,PR,2026-02-10 14:37:14,14.612840491888303,1.0,,,,,,
rotowire,NBA,Dalen Terry,REB,2026-02-10 14:37:14,4.7610886970743245,1.0,,,,,,
rotowire,NBA,Daniel Gafford,PR,2026-02-10 14:37:14,20.956478133952587,1.0,,,,,,
rotowire,NBA,Daniel Gafford,PRA,2026-02-10 14:37:14,22.67813457319926,1.0,,,,,,
rotowire,NBA,Daniel Gafford,PTS,2026-02-10 14:37:14,12.344017629965172,1.0,,,,,,
rotowire,NBA,Daniel Gafford,REB,2026-02-10 14:37:14,8.612460503987416,1.0,,,,,,
rotowire,NBA,Davion Mitchell,AST,2026-02-10 14:37:14,3.772490429983273,1.0,,,,,,
rotowire,NBA,Davion Mitchell,PA,2026-02-10 14:37:14,13.861105445305663,1.0,,,,,,
rotowire,NBA,Davion Mitchell,PR,2026-02-10 14:37:14,12.77666808193149,1.0,,,,,,
rotowire,NBA,Davion Mitchell,PRA,2026-02-10 14:37:14,16.54915851191476,1.0,,,,,,
rotowire,NBA,Davion Mitchell,PTS,2026-02-10 14:37:14,10.08861501532239,1.0,,,,,,
rotowire,NBA,Davion Mitchell,REB,2026-02-10 14:37:14,2.6880530666091005,1.0,,,,,,
rotowire,NBA,Day'Ron Sharpe,PA,2026-02-10 14:37:14,10.328052631696249,1.0,,,,,,
rotowire,NBA,Day'Ron Sharpe,PR,2026-02-10 14:37:14,15.865223505710173,1.0,,,,,,
rotowire,NBA,Day'Ron Sharpe,PRA,2026-02-10 14:37:14,17.986607582604407,1.0,,,,,,
rotowire,NBA,Day'Ron Sharpe,PTS,2026-02-10 14:37:14,8.206668554802015,1.0,,,,,,
rotowire,NBA,Day'Ron Sharpe,RA,2026-02-10 14:37:14,9.779939027802392,1.0,,,,,,
rotowire,NBA,Day'Ron Sharpe,REB,2026-02-10 14:37:14,7.658554950908158,1.0,,,,,,
rotowire,NBA,De'Anthony Melton,AST,2026-02-10 14:37:14,2.661965362412299,1.0,,,,,,
rotowire,NBA,De'Anthony Melton,PA,2026-02-10 14:37:14,14.01509052609634,1.0,,,,,,
rotowire,NBA,De'Anthony Melton,PR,2026-02-10 14:37:14,15.309304548216094,1.0,,,,,,
rotowire,NBA,De'Anthony Melton,PRA,2026-02-10 14:37:14,17.971269910628394,1.0,,,,,,
rotowire,NBA,De'Anthony Melton,PTS,2026-02-10 14:37:14,11.353125163684041,1.0,,,,,,
rotowire,NBA,De'Anthony Melton,RA,2026-02-10 14:37:14,6.618144746944353,1.0,,,,,,
rotowire,NBA,Deandre Ayton,PR,2026-02-10 14:37:14,21.025542128705005,1.0,,,,,,
rotowire,NBA,Deandre Ayton,PRA,2026-02-10 14:37:14,22.444833389436756,1.0,,,,,,
rotowire,NBA,Deandre Ayton,PTS,2026-02-10 14:37:14,11.829718478987957,1.0,,,,,,
rotowire,NBA,Deandre Ayton,REB,2026-02-10 14:37:14,9.195823649717047,1.0,,,,,,
rotowire,NBA,Derrick White,AST,2026-02-10 14:37:14,5.593681290354209,1.0,,,,,,
rotowire,NBA,Derrick White,FG3M,2026-02-10 14:37:14,2.9181261072152154,1.0,,,,,,
rotowire,NBA,Derrick White,PA,2026-02-10 14:37:14,25.047745479167627,1.0,,,,,,
rotowire,NBA,Derrick White,PR,2026-02-10 14:37:14,25.122564867290365,1.0,,,,,,
rotowire,NBA,Derrick White,PRA,2026-02-10 14:37:14,30.716246157644573,1.0,,,,,,
rotowire,NBA,Derrick White,PTS,2026-02-10 14:37:14,19.45406418881342,1.0,,,,,,
rotowire,NBA,Derrick White,RA,2026-02-10 14:37:14,11.262181968831154,1.0,,,,,,
rotowire,NBA,Desmond Bane,AST,2026-02-10 14:37:14,4.151256571936016,1.0,,,,,,
rotowire,NBA,Desmond Bane,PA,2026-02-10 14:37:14,23.38848186912668,1.0,,,,,,
rotowire,NBA,Desmond Bane,PR,2026-02-10 14:37:14,24.985054283345672,1.0,,,,,,
rotowire,NBA,Desmond Bane,PRA,2026-02-10 14:37:14,29.13631085528169,1.0,,,,,,
rotowire,NBA,Desmond Bane,PTS,2026-02-10 14:37:14,19.237225297190662,1.0,,,,,,
rotowire,NBA,Desmond Bane,RA,2026-02-10 14:37:14,9.899085558091025,1.0,,,,,,
rotowire,NBA,Desmond Bane,REB,2026-02-10 14:37:14,5.747828986155009,1.0,,,,,,
rotowire,NBA,Dillon Brooks,PA,2026-02-10 14:37:14,20.93013897556871,1.0,,,,,,
rotowire,NBA,Dillon Brooks,PR,2026-02-10 14:37:14,23.27419690952983,1.0,,,,,,
rotowire,NBA,Dillon Brooks,PRA,2026-02-10 14:37:14,25.90517285008252,1.0,,,,,,
rotowire,NBA,Dillon Brooks,PTS,2026-02-10 14:37:14,18.299163035016022,1.0,,,,,,
rotowire,NBA,Dillon Brooks,RA,2026-02-10 14:37:14,7.606009815066496,1.0,,,,,,
rotowire,NBA,Dillon Brooks,REB,2026-02-10 14:37:14,4.975033874513809,1.0,,,,,,
rotowire,NBA,Donovan Clingan,PA,2026-02-10 14:37:14,13.999903781412213,1.0,,,,,,
rotowire,NBA,Donovan Clingan,PR,2026-02-10 14:37:14,23.72738085681882,1.0,,,,,,
rotowire,NBA,Donovan Clingan,PRA,2026-02-10 14:37:14,25.986376832228338,1.0,,,,,,
rotowire,NBA,Donovan Clingan,PTS,2026-02-10 14:37:14,11.740907806002692,1.0,,,,,,
rotowire,NBA,Donovan Clingan,RA,2026-02-10 14:37:14,14.245469026225646,1.0,,,,,,
rotowire,NBA,Donovan Clingan,REB,2026-02-10 14:37:14,11.986473050816125,1.0,,,,,,
rotowire,NBA,Draymond Green,AST,2026-02-10 14:37:14,5.36195435498401,1.0,,,,,,
rotowire,NBA,Draymond Green,PA,2026-02-10 14:37:14,17.572808801397887,1.0,,,,,,
rotowire,NBA,Draymond Green,PR,2026-02-10 14:37:14,19.497696467450485,1.0,,,,,,
rotowire,NBA,Draymond Green,PRA,2026-02-10 14:37:14,24.859650822434496,1.0,,,,,,
rotowire,NBA,Draymond Green,PTS,2026-02-10 14:37:14,12.210854446413876,1.0,,,,,,
rotowire,NBA,Draymond Green,RA,2026-02-10 14:37:14,12.648796376020618,1.0,,,,,,
rotowire,NBA,Draymond Green,REB,2026-02-10 14:37:14,7.286842021036608,1.0,,,,,,
rotowire,NBA,Duncan Robinson,PA,2026-02-10 14:37:14,13.651615534874615,1.0,,,,,,
rotowire,NBA,Duncan Robinson,PR,2026-02-10 14:37:14,14.073137780143576,1.0,,,,,,
rotowire,NBA,Duncan Robinson,PRA,2026-02-10 14:37:14,16.342960343832964,1.0,,,,,,
rotowire,NBA,Duncan Robinson,PTS,2026-02-10 14:37:14,11.381792971185227,1.0,,,,,,
rotowire,NBA,Duncan Robinson,RA,2026-02-10 14:37:14,4.9611673726477346,1.0,,,,,,
rotowire,NBA,Dyson Daniels,AST,2026-02-10 14:37:14,3.7221156057094027,1.0,,,,,,
rotowire,NBA,Dyson Daniels,PA,2026-02-10 14:37:14,15.163220167162974,1.0,,,,,,
rotowire,NBA,Dyson Daniels,PR,2026-02-10 14:37:14,18.690576794796,1.0,,,,,,
rotowire,NBA,Dyson Daniels,PRA,2026-02-10 14:37:14,22.412692400505403,1.0,,,,,,
rotowire,NBA,Dyson Daniels,PTS,2026-02-10 14:37:14,11.441104561453571,1.0,,,,,,
rotowire,NBA,Dyson Daniels,RA,2026-02-10 14:37:14,10.971587839051832,1.0,,,,,,
rotowire,NBA,Dyson Daniels,REB,2026-02-10 14:37:14,7.249472233342429,1.0,,,,,,
rotowire,NBA,Egor Demin,PA,2026-02-10 14:37:14,14.388656386539012,1.0,,,,,,
rotowire,NBA,Egor Demin,PR,2026-02-10 14:37:14,13.926493875630406,1.0,,,,,,
rotowire,NBA,Egor Demin,PRA,2026-02-10 14:37:14,18.3996150225614,1.0,,,,,,
rotowire,NBA,Egor Demin,PTS,2026-02-10 14:37:14,9.915535239608019,1.0,,,,,,
rotowire,NBA,Gary Trent,AST,2026-02-10 14:37:14,1.903942243128818,1.0,,,,,,
rotowire,NBA,Gary Trent,PRA,2026-02-10 14:37:14,15.43081967152595,1.0,,,,,,
rotowire,NBA,Gary Trent,PTS,2026-02-10 14:37:14,10.728183846905836,1.0,,,,,,
rotowire,NBA,Grayson Allen,PA,2026-02-10 14:37:14,22.21518025132701,1.0,,,,,,
rotowire,NBA,Grayson Allen,PR,2026-02-10 14:37:14,23.210905039133536,1.0,,,,,,
rotowire,NBA,Grayson Allen,PRA,2026-02-10 14:37:14,27.304592014141516,1.0,,,,,,
rotowire,NBA,Grayson Allen,PTS,2026-02-10 14:37:14,18.12149327631903,1.0,,,,,,
rotowire,NBA,Grayson Allen,RA,2026-02-10 14:37:14,9.183098737822487,1.0,,,,,,
rotowire,NBA,Grayson Allen,REB,2026-02-10 14:37:14,5.089411762814507,1.0,,,,,,
rotowire,NBA,Isaac Okoro,PA,2026-02-10 14:37:14,14.694559208999895,1.0,,,,,,
rotowire,NBA,Isaac Okoro,PR,2026-02-10 14:37:14,16.02313368073531,1.0,,,,,,
rotowire,NBA,Isaac Okoro,PRA,2026-02-10 14:37:14,18.59999965764078,1.0,,,,,,
rotowire,NBA,Isaiah Collier,AST,2026-02-10 14:37:14,8.998243006426936,1.0,,,,,,
rotowire,NBA,Isaiah Collier,PA,2026-02-10 14:37:14,23.88663910268178,1.0,,,,,,
rotowire,NBA,Isaiah Collier,PR,2026-02-10 14:37:14,19.497372111556565,1.0,,,,,,
rotowire,NBA,Isaiah Collier,PRA,2026-02-10 14:37:14,28.4956151179835,1.0,,,,,,
rotowire,NBA,Isaiah Collier,PTS,2026-02-10 14:37:14,14.888396096254844,1.0,,,,,,
rotowire,NBA,Isaiah Collier,RA,2026-02-10 14:37:14,13.607219021728655,1.0,,,,,,
rotowire,NBA,Isaiah Collier,REB,2026-02-10 14:37:14,4.608976015301719,1.0,,,,,,
rotowire,NBA,Isaiah Hartenstein,PA,2026-02-10 14:37:14,12.767410872881111,1.0,,,,,,
rotowire,NBA,Isaiah Hartenstein,PR,2026-02-10 14:37:14,18.345510041396032,1.0,,,,,,
rotowire,NBA,Isaiah Hartenstein,PRA,2026-02-10 14:37:14,21.14239680780394,1.0,,,,,,
rotowire,NBA,Isaiah Hartenstein,PTS,2026-02-10 14:37:14,9.970524106473203,1.0,,,,,,
rotowire,NBA,Isaiah Hartenstein,RA,2026-02-10 14:37:14,11.171872701330734,1.0,,,,,,
rotowire,NBA,Isaiah Hartenstein,REB,2026-02-10 14:37:14,8.374985934922828,1.0,,,,,,
rotowire,NBA,Isaiah Jackson,PR,2026-02-10 14:37:14,21.65391082786499,1.0,,,,,,
rotowire,NBA,Isaiah Jackson,PRA,2026-02-10 14:37:14,22.477164971326964,1.0,,,,,,
rotowire,NBA,Isaiah Jackson,PTS,2026-02-10 14:37:14,13.669816541849293,1.0,,,,,,
rotowire,NBA,Isaiah Stewart,FG3M,2026-02-10 14:37:14,0.4624782967179897,1.0,,,,,,
rotowire,NBA,Isaiah Stewart,PR,2026-02-10 14:37:14,14.32916822758323,1.0,,,,,,
rotowire,NBA,Isaiah Stewart,PRA,2026-02-10 14:37:14,16.23572393662777,1.0,,,,,,
rotowire,NBA,Isaiah Stewart,REB,2026-02-10 14:37:14,6.925399488898469,1.0,,,,,,
rotowire,NBA,Jaime Jaquez,PA,2026-02-10 14:37:14,21.082648444107857,1.0,,,,,,
rotowire,NBA,Jaime Jaquez,PR,2026-02-10 14:37:14,24.917238652851093,1.0,,,,,,
rotowire,NBA,Jaime Jaquez,PRA,2026-02-10 14:37:14,28.651302321890107,1.0,,,,,,
rotowire,NBA,Jaime Jaquez,PTS,2026-02-10 14:37:14,17.348584775068844,1.0,,,,,,
rotowire,NBA,Jaime Jaquez,RA,2026-02-10 14:37:14,11.302717546821262,1.0,,,,,,
rotowire,NBA,Jaime Jaquez,REB,2026-02-10 14:37:14,7.568653877782249,1.0,,,,,,
rotowire,NBA,Jake LaRavia,PA,2026-02-10 14:37:14,12.02844138349214,1.0,,,,,,
